,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,6.794929504394531e-05,1.3125,0.0002474784851074219,1.430511474609375e-05,0.00047206878662109375,1.625,"[[['2000', [], [[1, 2, 3]]], ['1222', [], [[1, 2, 3]]]], [['0122', [[1, 2, 3]], [[2, 3]]]]]",1.0,False,0.328125,0.40625,cc,
1,Apoptosis Network,Cas12,01,1,0.5,1,1.5735626220703125e-05,0.0,9.894371032714844e-05,6.67572021484375e-06,1.5497207641601562e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,6.842613220214844e-05,0.375,0.0002396106719970703,9.298324584960938e-06,0.00013756752014160156,1.520833333333333,"[[['2202', [], [[0, 1, 3]]], ['2122', [], [[0, 2, 3]]], ['1221', [], [[0, 3], [1, 2]]]], [['0012', [[0, 3]], [[0, 1]]]]]",1.0,False,0.09375,0.38020833333333326,cc,
3,Apoptosis Network,cFLIP,01,1,0.5,1,1.1205673217773438e-05,0.0,9.965896606445312e-05,5.0067901611328125e-06,1.3589859008789062e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
4,Apoptosis Network,TRADD,01,1,0.5,1,1.2874603271484375e-05,0.0,8.916854858398438e-05,4.5299530029296875e-06,1.2636184692382812e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
5,Apoptosis Network,TNFR2,01,1,0.5,1,1.1682510375976562e-05,0.0,8.869171142578125e-05,4.76837158203125e-06,1.1920928955078125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
6,Apoptosis Network,PTEN,01,1,0.5,1,1.0728836059570312e-05,0.0,7.748603820800781e-05,4.291534423828125e-06,1.0967254638671875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,8.273124694824219e-05,1.96875,0.00024127960205078125,1.0251998901367188e-05,0.0010242462158203125,1.1875,"[[['2022', [[1, 2, 3]], [[0, 2, 3]]], ['1222', [], [[1, 2, 3]]]], [['0111', [], [[1, 2, 3]]]]]",1.0,False,0.4921875,0.296875,cc,
8,Apoptosis Network,FADD,01,1,0.5,1,1.1205673217773438e-05,0.0,9.036064147949219e-05,4.291534423828125e-06,1.3589859008789062e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
9,Apoptosis Network,Apaf1,01,1,0.5,1,1.1205673217773438e-05,0.0,8.988380432128906e-05,4.5299530029296875e-06,1.2159347534179688e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
10,Apoptosis Network,Mito,0010,2,0.25,2,2.6464462280273438e-05,0.0,0.00017023086547851562,8.344650268554688e-06,3.0994415283203125e-05,1.25,"[[['21', [], []], ['02', [], []]], [['10', [], []]]]",1.0,False,0.0,0.625,cc,
11,Apoptosis Network,JNK,01,1,0.5,1,1.9550323486328125e-05,0.0,0.00014781951904296875,8.106231689453125e-06,2.1696090698242188e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
12,Apoptosis Network,Mdm2,0111,2,0.75,2,3.1948089599609375e-05,1.5,0.00025081634521484375,9.298324584960938e-06,0.0001850128173828125,1.25,"[[['00', [], [[0, 1]]]], [['12', [[0, 1]], []]]]",1.0,False,0.75,0.625,cc,
13,Apoptosis Network,Cas8,01110000,3,0.375,2,4.792213439941406e-05,0.75,0.00018715858459472656,1.0251998901367188e-05,0.0001609325408935547,1.5625,"[[['122', [], [[1, 2]]], ['200', [], [[1, 2]]]], [['012', [[1, 2]], []]]]",1.0,False,0.25,0.5208333333333334,cc,
14,Apoptosis Network,p53,01001100,3,0.375,2,4.0531158447265625e-05,0.75,0.0002257823944091797,1.0967254638671875e-05,0.00021457672119140625,1.5625,"[[['212', [], [[0, 2]]], ['020', [], [[0, 2]]]], [['102', [[0, 2]], []]]]",1.0,False,0.25,0.5208333333333334,cc,
