,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,time_sym_std,ks_norm,ke_norm,source,version
0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.00014448165893554688,1.3125,0.00030689239501953126,2.574920654296875e-05,0.001299142837524414,1.625,"[[['1222', [], []], ['2000', [], []]], [['0122', [[1, 2, 3]], []]]]",True,False,8.970877252887678e-06,0.328125,0.40625,cc,new
1,Apoptosis Network,Cas12,01,1,0.5,1,2.4557113647460938e-05,0.0,0.0001835346221923828,8.58306884765625e-06,4.363059997558594e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.577271800449935e-05,0.0,1.0,cc,new
2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.0001251697540283203,0.375,0.00029730796813964844,1.8835067749023438e-05,0.0003590583801269531,1.5208333333333335,"[[['2122', [], []], ['2202', [], []], ['1221', [], []]], [['0012', [[0, 3]], []]]]",True,False,2.459204143506408e-05,0.09375,0.38020833333333337,cc,new
3,Apoptosis Network,cFLIP,01,1,0.5,1,2.5033950805664062e-05,0.0,0.00019421577453613282,8.344650268554688e-06,4.38690185546875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.357320132705005e-05,0.0,1.0,cc,new
4,Apoptosis Network,TRADD,01,1,0.5,1,2.47955322265625e-05,0.0,0.00017070770263671875,8.106231689453125e-06,4.410743713378906e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.3725126232742553e-05,0.0,1.0,cc,new
5,Apoptosis Network,TNFR2,01,1,0.5,1,2.4318695068359375e-05,0.0,0.0001709461212158203,8.344650268554688e-06,4.4345855712890625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.3883251228484912e-05,0.0,1.0,cc,new
6,Apoptosis Network,PTEN,01,1,0.5,1,3.24249267578125e-05,0.0,0.00017099380493164064,9.5367431640625e-06,4.863739013671875e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.3194179810293483e-05,0.0,1.0,cc,new
7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.00016188621520996094,1.96875,0.0003678321838378906,2.09808349609375e-05,0.0026535987854003906,1.1875,"[[['1222', [], []], ['2022', [[1, 2, 3]], []]], [['0111', [], []]]]",True,False,3.727372350608131e-05,0.4921875,0.296875,cc,new
8,Apoptosis Network,FADD,01,1,0.5,1,2.47955322265625e-05,0.0,0.00017828941345214843,8.821487426757812e-06,4.506111145019531e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,9.413639905331266e-06,0.0,1.0,cc,new
9,Apoptosis Network,Apaf1,01,1,0.5,1,2.5987625122070312e-05,0.0,0.00017514228820800782,9.059906005859375e-06,4.4345855712890625e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,7.375732206808196e-06,0.0,1.0,cc,new
10,Apoptosis Network,Mito,0010,2,0.25,2,4.172325134277344e-05,0.0,0.00019469261169433594,1.0251998901367188e-05,5.6743621826171875e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,1.651165283298319e-05,0.0,0.625,cc,new
11,Apoptosis Network,JNK,01,1,0.5,1,3.3855438232421875e-05,0.0,0.00017533302307128906,9.5367431640625e-06,5.221366882324219e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.291392643585184e-05,0.0,1.0,cc,new
12,Apoptosis Network,Mdm2,0111,2,0.75,2,4.076957702636719e-05,1.5,0.00030350685119628906,1.1444091796875e-05,0.0002944469451904297,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,2.401905965482647e-05,0.75,0.625,cc,new
13,Apoptosis Network,Cas8,01110000,3,0.375,2,6.127357482910156e-05,0.75,0.00033206939697265624,1.3589859008789062e-05,0.0003254413604736328,1.5625,"[[['200', [], []], ['122', [], []]], [['012', [[1, 2]], []]]]",True,False,2.369520862366463e-05,0.25,0.5208333333333334,cc,new
