,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.0001506805419921875,,0.0017015933990478516,,,1.625,"[[('1222', [], [[1, 2, 3]]), ('2000', [], [[1, 2, 3]])], [('0212', [[1, 2, 3]], [])]]",True,False,,0.40625,cc,v0.1.2
1,Apoptosis Network,Cas12,01,1,0.5,1,4.410743713378906e-05,,0.0006315708160400391,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.00014925003051757812,,0.002162456512451172,,,1.520833333333333,"[[('2122', [], [[0, 2, 3]]), ('2202', [], [[0, 1, 3]]), ('1221', [], [[0, 3], [1, 2]])], [('2010', [[0, 3]], [])]]",True,False,,0.38020833333333326,cc,v0.1.2
3,Apoptosis Network,cFLIP,01,1,0.5,1,2.8133392333984375e-05,,0.0006356239318847656,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
4,Apoptosis Network,TRADD,01,1,0.5,1,2.8371810913085938e-05,,0.0006496906280517578,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
5,Apoptosis Network,TNFR2,01,1,0.5,1,3.0994415283203125e-05,,0.0007181167602539062,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
6,Apoptosis Network,PTEN,01,1,0.5,1,3.0517578125e-05,,0.0006628036499023438,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.00014472007751464844,,0.0035047531127929688,,,1.1875,"[[('2022', [[1, 2, 3]], [[0, 2]]), ('1222', [], [[1, 2, 3]])], [('0111', [], [[1, 2, 3]])]]",True,False,,0.296875,cc,v0.1.2
8,Apoptosis Network,FADD,01,1,0.5,1,3.409385681152344e-05,,0.0007650852203369141,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
9,Apoptosis Network,Apaf1,01,1,0.5,1,2.8371810913085938e-05,,0.0006620883941650391,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
10,Apoptosis Network,Mito,0010,2,0.25,2,4.00543212890625e-05,,0.0008461475372314453,,,1.25,"[[('21', [], []), ('02', [], [])], [('10', [], [])]]",True,False,,0.625,cc,v0.1.2
11,Apoptosis Network,JNK,01,1,0.5,1,3.337860107421875e-05,,0.0006692409515380859,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
12,Apoptosis Network,Mdm2,0111,2,0.75,2,3.8623809814453125e-05,,0.0011425018310546875,,,1.25,"[[('00', [], [[0, 1]])], [('21', [[0, 1]], [])]]",True,False,,0.625,cc,v0.1.2
13,Apoptosis Network,Cas8,01110000,3,0.375,2,5.5789947509765625e-05,,0.0014960765838623047,,,1.5625,"[[('200', [], [[1, 2]]), ('122', [], [[1, 2]])], [('012', [[1, 2]], [])]]",True,False,,0.5208333333333334,cc,v0.1.2
14,Apoptosis Network,p53,01001100,3,0.375,2,5.9604644775390625e-05,,0.001333475112915039,,,1.5625,"[[('212', [], [[0, 2]]), ('020', [], [[0, 2]])], [('102', [[0, 2]], [])]]",True,False,,0.5208333333333334,cc,v0.1.2
15,Apoptosis Network,Apoptosis,01,1,0.5,1,2.8848648071289062e-05,,0.0006539821624755859,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,,0.0,cc,v0.1.2
16,Apoptosis Network,NFkB,10,1,0.5,1,3.337860107421875e-05,,0.0008392333984375,,,0.0,"[[('1', [], [])], [('0', [], [])]]",True,False,,0.0,cc,v0.1.2
17,Apoptosis Network,PIP3,00010000,3,0.125,3,6.461143493652344e-05,,0.0024046897888183594,,,1.25,"[[('220', [[1, 2]], [[0, 1]]), ('122', [], [[1, 2]])], [('011', [], [[1, 2]])]]",True,False,,0.4166666666666667,cc,v0.1.2
18,Apoptosis Network,Cas7,01110000,3,0.375,2,5.5789947509765625e-05,,0.0013127326965332031,,,1.5625,"[[('200', [], [[1, 2]]), ('122', [], [[1, 2]])], [('012', [[1, 2]], [])]]",True,False,,0.5208333333333334,cc,v0.1.2
