,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,time_sym_std,ks_norm,ke_norm,source,version
0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.00015354156494140625,,0.0018295764923095704,,,1.625,"[[('1222', [], [[1, 2, 3]]), ('2000', [], [[1, 2, 3]])], [('0221', [[1, 2, 3]], [[0, 1]])]]",True,False,0.000146159682061001,,0.40625,cc,v0.1.2
1,Apoptosis Network,Cas12,01,1,0.5,1,2.9802322387695312e-05,,0.0007720470428466796,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,4.1102533265697585e-05,,0.0,cc,v0.1.2
2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.00013875961303710938,,0.002762174606323242,,,1.520833333333333,"[[('1221', [], [[0, 3], [1, 2]]), ('2202', [], [[0, 1, 3]]), ('2122', [], [[0, 2, 3]])], [('0012', [[0, 3]], [])]]",True,False,0.000513128376426433,,0.38020833333333326,cc,v0.1.2
3,Apoptosis Network,cFLIP,01,1,0.5,1,3.0994415283203125e-05,,0.000866556167602539,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,3.847298785928744e-05,,0.0,cc,v0.1.2
4,Apoptosis Network,TRADD,01,1,0.5,1,4.482269287109375e-05,,0.0008808135986328125,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,5.06809935225479e-05,,0.0,cc,v0.1.2
5,Apoptosis Network,TNFR2,01,1,0.5,1,3.6716461181640625e-05,,0.0008697986602783203,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,4.8704054903144734e-05,,0.0,cc,v0.1.2
6,Apoptosis Network,PTEN,01,1,0.5,1,3.218650817871094e-05,,0.0008739948272705079,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,4.290034773853437e-05,,0.0,cc,v0.1.2
7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.0003504753112792969,,0.0055277347564697266,,,1.1875,"[[('2202', [[1, 2, 3]], [[1, 2]]), ('1222', [], [[1, 2, 3]])], [('0111', [], [[1, 2, 3]])]]",True,False,0.0013452249721068571,,0.296875,cc,v0.1.2
8,Apoptosis Network,FADD,01,1,0.5,1,3.266334533691406e-05,,0.0008722305297851563,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,4.5111063361856745e-05,,0.0,cc,v0.1.2
9,Apoptosis Network,Apaf1,01,1,0.5,1,4.482269287109375e-05,,0.0008733272552490234,,,0.0,"[[('0', [], [])], [('1', [], [])]]",True,False,5.689029010614727e-05,,0.0,cc,v0.1.2
