,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.00012087821960449219,1.3125,0.00023055076599121094,3.0040740966796875e-05,0.0011196136474609375,1.625,"[[['1222', [], []], ['2000', [], []]], [['0122', [[1, 2, 3]], []]]]",True,False,0.328125,0.40625,cc,new
1,Apoptosis Network,Cas12,01,1,0.5,1,2.1457672119140625e-05,0.0,0.00018787384033203125,4.291534423828125e-06,3.24249267578125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.0001201629638671875,0.375,0.00020003318786621094,3.0994415283203125e-05,0.0002892017364501953,1.520833333333333,"[[['2122', [], []], ['1221', [], []], ['2202', [], []]], [['0012', [[0, 3]], []]]]",True,False,0.09375,0.38020833333333326,cc,new
3,Apoptosis Network,cFLIP,01,1,0.5,1,1.5974044799804688e-05,0.0,0.0001475811004638672,4.0531158447265625e-06,3.0517578125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
4,Apoptosis Network,TRADD,01,1,0.5,1,1.430511474609375e-05,0.0,0.00014591217041015625,3.5762786865234375e-06,3.0279159545898438e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
5,Apoptosis Network,TNFR2,01,1,0.5,1,1.4543533325195312e-05,0.0,0.00014710426330566406,3.814697265625e-06,3.123283386230469e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
6,Apoptosis Network,PTEN,01,1,0.5,1,2.7179718017578125e-05,0.0,0.00018739700317382812,5.0067901611328125e-06,3.838539123535156e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.00015115737915039062,1.96875,0.00023865699768066406,1.3589859008789062e-05,0.0024466514587402344,1.1875,"[[['1222', [], []], ['2022', [[1, 2, 3]], []]], [['0111', [], []]]]",True,False,0.4921875,0.296875,cc,new
8,Apoptosis Network,FADD,01,1,0.5,1,3.4809112548828125e-05,0.0,0.00018215179443359375,4.5299530029296875e-06,1.430511474609375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
9,Apoptosis Network,Apaf1,01,1,0.5,1,4.124641418457031e-05,0.0,0.0001900196075439453,2.1696090698242188e-05,5.1021575927734375e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
10,Apoptosis Network,Mito,0010,2,0.25,2,2.6941299438476562e-05,0.0,0.00018477439880371094,2.2172927856445312e-05,5.412101745605469e-05,1.25,"[[['21', [], []], ['02', [], []]], [['10', [], []]]]",True,False,0.0,0.625,cc,new
11,Apoptosis Network,JNK,01,1,0.5,1,3.62396240234375e-05,0.0,0.0001709461212158203,3.814697265625e-06,3.170967102050781e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
12,Apoptosis Network,Mdm2,0111,2,0.75,2,3.910064697265625e-05,1.5,0.00021910667419433594,2.9802322387695312e-05,0.00027370452880859375,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,0.75,0.625,cc,new
13,Apoptosis Network,Cas8,01110000,3,0.375,2,4.935264587402344e-05,0.75,0.00019073486328125,2.86102294921875e-05,0.000240325927734375,1.5625,"[[['200', [], []], ['122', [], []]], [['012', [[1, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
14,Apoptosis Network,p53,01001100,3,0.375,2,7.462501525878906e-05,0.75,0.00017261505126953125,7.3909759521484375e-06,0.0002434253692626953,1.5625,"[[['020', [], []], ['212', [], []]], [['102', [[0, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
15,Apoptosis Network,Apoptosis,01,1,0.5,1,1.5020370483398438e-05,0.0,0.0001316070556640625,4.291534423828125e-06,1.2159347534179688e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
