,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,ks_norm,ke_norm
0,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",Cas3,0111111100000000,4,0.4375,3,0.0002193450927734375,1.3125,0.0007658004760742188,3.0279159545898438e-05,0.001010894775390625,1.625,0.328125,0.40625
1,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",Cas12,01,1,0.5,1,5.841255187988281e-05,0.0,0.00025963783264160156,3.814697265625e-06,3.123283386230469e-05,1.0,0.0,1.0
2,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",IAP,0011000000100000,4,0.1875,3,0.00013828277587890625,0.375,0.0006859302520751953,3.0994415283203125e-05,0.0002872943878173828,1.520833333333333,0.09375,0.38020833333333326
3,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",cFLIP,01,1,0.5,1,3.504753112792969e-05,0.0,0.0002396106719970703,3.5762786865234375e-06,3.0517578125e-05,1.0,0.0,1.0
4,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",TRADD,01,1,0.5,1,3.3855438232421875e-05,0.0,0.000225067138671875,3.814697265625e-06,3.0994415283203125e-05,1.0,0.0,1.0
5,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",TNFR2,01,1,0.5,1,3.266334533691406e-05,0.0,0.00018858909606933594,3.814697265625e-06,3.075599670410156e-05,1.0,0.0,1.0
6,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",PTEN,01,1,0.5,1,1.4543533325195312e-05,0.0,0.00023818016052246094,2.2649765014648438e-05,3.147125244140625e-05,1.0,0.0,1.0
7,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",APC,0000000100000000,4,0.0625,4,0.00015997886657714844,1.96875,0.0017237663269042969,1.3828277587890625e-05,0.002753734588623047,1.1875,0.4921875,0.296875
8,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",FADD,01,1,0.5,1,1.71661376953125e-05,0.0,0.00020647048950195312,3.814697265625e-06,1.2636184692382812e-05,1.0,0.0,1.0
9,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",Apaf1,01,1,0.5,1,3.147125244140625e-05,0.0,0.0002903938293457031,3.814697265625e-06,3.075599670410156e-05,1.0,0.0,1.0
