,func,k,numPI,time_PI,ks,time_sym,time_ks,time_cov
0,0111111100000000,4,3,0.00022292137145996094,1.3125,0.0007371902465820312,3.0279159545898438e-05,0.0008933544158935547
1,01,1,1,3.337860107421875e-05,0.0,0.0002429485321044922,1.9311904907226562e-05,3.147125244140625e-05
2,0011000000100000,4,3,0.00016570091247558594,0.375,0.0005786418914794922,3.075599670410156e-05,0.00027942657470703125
3,01,1,1,3.266334533691406e-05,0.0,0.00019311904907226562,4.291534423828125e-06,3.170967102050781e-05
4,01,1,1,3.933906555175781e-05,0.0,0.0002739429473876953,2.2411346435546875e-05,3.218650817871094e-05
5,01,1,1,3.266334533691406e-05,0.0,0.0002410411834716797,3.814697265625e-06,1.239776611328125e-05
6,01,1,1,1.430511474609375e-05,0.0,0.000202178955078125,3.814697265625e-06,3.0517578125e-05
7,0000000100000000,4,4,0.00017523765563964844,1.96875,0.001520395278930664,3.1948089599609375e-05,0.001712799072265625
8,01,1,1,2.6464462280273438e-05,0.0,0.00018548965454101562,5.245208740234375e-06,1.6689300537109375e-05
9,01,1,1,2.2649765014648438e-05,0.0,0.00016951560974121094,4.5299530029296875e-06,1.5020370483398438e-05
10,0010,2,2,3.4809112548828125e-05,0.0,0.00018858909606933594,5.7220458984375e-06,2.3126602172851562e-05
11,01,1,1,1.6450881958007812e-05,0.0,0.00014781951904296875,4.5299530029296875e-06,1.430511474609375e-05
12,0111,2,2,4.863739013671875e-05,1.5,0.0004420280456542969,6.198883056640625e-06,0.0002052783966064453
13,01110000,3,2,7.891654968261719e-05,0.75,0.0004878044128417969,1.239776611328125e-05,0.0003859996795654297
14,01001100,3,2,7.915496826171875e-05,0.75,0.0004391670227050781,2.5272369384765625e-05,0.00020647048950195312
15,01,1,1,3.147125244140625e-05,0.0,0.00026917457580566406,6.9141387939453125e-06,1.430511474609375e-05
16,10,1,1,3.123283386230469e-05,0.0,0.0002779960632324219,7.867813110351562e-06,2.5272369384765625e-05
17,00010000,3,3,0.00011396408081054688,1.125,0.0010814666748046875,2.5033950805664062e-05,0.0008776187896728516
18,01110000,3,2,9.059906005859375e-05,0.75,0.0007510185241699219,1.3589859008789062e-05,0.00037407875061035156
19,01,1,1,2.47955322265625e-05,0.0,0.00032258033752441406,5.7220458984375e-06,1.9788742065429688e-05
20,0010,2,2,2.6464462280273438e-05,0.0,0.00023031234741210938,4.76837158203125e-06,2.1219253540039062e-05
21,0010,2,2,2.47955322265625e-05,0.0,0.0002570152282714844,5.245208740234375e-06,2.09808349609375e-05
22,01,1,1,1.4781951904296875e-05,0.0,0.00014495849609375,4.0531158447265625e-06,1.3113021850585938e-05
23,01,1,1,1.4543533325195312e-05,0.0,0.00020599365234375,4.291534423828125e-06,1.2874603271484375e-05
24,01,1,1,2.193450927734375e-05,0.0,0.0003383159637451172,7.867813110351562e-06,2.3603439331054688e-05
25,00101010,3,2,9.775161743164062e-05,0.75,0.0007767677307128906,1.6927719116210938e-05,0.0004189014434814453
26,0010,2,2,3.0994415283203125e-05,0.0,0.00023102760314941406,5.7220458984375e-06,2.2411346435546875e-05
27,0111,2,2,2.2411346435546875e-05,1.5,0.0004420280456542969,5.9604644775390625e-06,0.00019073486328125
28,01,1,1,1.4066696166992188e-05,0.0,0.0002193450927734375,3.814697265625e-06,1.2874603271484375e-05
29,01,1,1,3.2901763916015625e-05,0.0,0.0002608299255371094,3.814697265625e-06,3.123283386230469e-05
30,01,1,1,1.4543533325195312e-05,0.0,0.0002434253692626953,2.2411346435546875e-05,3.123283386230469e-05
31,01,1,1,3.361701965332031e-05,0.0,0.0002288818359375,1.7881393432617188e-05,3.0994415283203125e-05
32,01,1,1,1.5020370483398438e-05,0.0,0.00024127960205078125,2.2172927856445312e-05,3.0517578125e-05
33,01,1,1,3.2901763916015625e-05,0.0,0.0002422332763671875,2.2649765014648438e-05,3.0517578125e-05
34,0000001000100010,4,3,0.00026345252990722656,0.375,0.0012166500091552734,3.24249267578125e-05,0.0005266666412353516
35,0000100010001000,4,3,0.00024819374084472656,1.6875,0.0009372234344482422,1.2874603271484375e-05,0.000751495361328125
36,00100000,3,3,6.413459777832031e-05,1.125,0.0005142688751220703,8.344650268554688e-06,0.0003604888916015625
37,01,1,1,3.147125244140625e-05,0.0,0.00024080276489257812,2.193450927734375e-05,1.2874603271484375e-05
38,0010,2,2,2.4557113647460938e-05,0.0,0.0002353191375732422,5.0067901611328125e-06,2.09808349609375e-05
39,01,1,1,4.673004150390625e-05,0.0,0.00021600723266601562,2.2649765014648438e-05,3.123283386230469e-05
40,01,1,1,1.4543533325195312e-05,0.0,0.00021600723266601562,2.193450927734375e-05,3.0994415283203125e-05
41,0101000101010000,4,3,0.00011730194091796875,0.0,0.0003638267517089844,3.0040740966796875e-05,0.00013589859008789062
42,00001111000011101111111111101110,5,6,0.0002529621124267578,3.28125,0.0027618408203125,8.702278137207031e-05,0.014946460723876953
43,0111000000110000011100000011000000110000001100000111000000110000011100000011000001110000001100000011000000110000001100000011000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000,8,5,0.020388126373291016,0.6875,0.005417346954345703,0.0002014636993408203,0.005759477615356445
44,1101110111001101110111011100110011111111111111111111111111111111,6,4,0.0009446144104003906,0.0,0.0009653568267822266,9.012222290039062e-05,0.0003879070281982422
45,01110000010100000111011101010101,5,4,0.00025653839111328125,0.0,0.0010080337524414062,3.910064697265625e-05,0.00020742416381835938
46,10,1,1,6.699562072753906e-05,0.0,0.00035572052001953125,6.67572021484375e-06,2.2649765014648438e-05
47,1110000011101110,4,4,0.0002338886260986328,1.125,0.001959562301635742,3.170967102050781e-05,0.0009059906005859375
48,0111000001110000001100000111000001110000011100000011000000110000,6,4,0.0008420944213867188,0.0,0.0009036064147949219,6.937980651855469e-05,0.0003750324249267578
49,0101111101001100010101010100010001011111010111110101010101010101,6,6,0.0007421970367431641,0.703125,0.004355192184448242,9.417533874511719e-05,0.0031669139862060547
50,01110101000000001111111100000000,5,3,0.000286102294921875,0.65625,0.0007600784301757812,8.296966552734375e-05,0.0016586780548095703
51,0001000011111111,4,3,0.00023555755615234375,0.5625,0.0011086463928222656,6.961822509765625e-05,0.0010380744934082031
52,01001100,3,2,0.00011706352233886719,0.75,0.0007407665252685547,5.030632019042969e-05,0.0003879070281982422
53,0100,2,2,6.604194641113281e-05,0.0,0.0003807544708251953,2.7418136596679688e-05,7.152557373046875e-05
54,01110011011100110011001101110011011100110111001100110011001100111111111111111111111111111111111111111111111111111111111111111111,7,4,0.0071866512298583984,1.375,0.0038373470306396484,0.0002560615539550781,0.012039899826049805
55,0100,2,2,7.462501525878906e-05,0.0,0.00039458274841308594,2.7418136596679688e-05,8.726119995117188e-05
56,10,1,1,3.743171691894531e-05,0.0,0.00036644935607910156,5.7220458984375e-06,5.4836273193359375e-05
57,00101010,3,2,0.00011563301086425781,0.75,0.0007445812225341797,2.5987625122070312e-05,0.0004315376281738281
58,0010,2,2,0.00010561943054199219,0.0,0.0004572868347167969,1.0728836059570312e-05,4.076957702636719e-05
59,01010111111111110000001111111111,5,4,0.0006852149963378906,0.5625,0.002546548843383789,0.00010132789611816406,0.0022330284118652344
60,1000110011001100,4,3,0.000232696533203125,0.5625,0.0010573863983154297,5.936622619628906e-05,0.0008325576782226562
61,01,1,1,3.7670135498046875e-05,0.0,0.00034236907958984375,2.4080276489257812e-05,5.53131103515625e-05
62,01,1,1,3.743171691894531e-05,0.0,0.0003821849822998047,2.4318695068359375e-05,5.507469177246094e-05
63,00000001000000010001000100010001000000010000000000010001000000000011001100110011001100110011001100110011000000000011001100000000,7,6,0.0041255950927734375,0.7265625,0.010884523391723633,0.00014138221740722656,0.005914449691772461
64,01,1,1,5.626678466796875e-05,0.0,0.00022172927856445312,3.814697265625e-06,3.147125244140625e-05
65,01,1,1,3.337860107421875e-05,0.0,0.00024700164794921875,4.0531158447265625e-06,3.0517578125e-05
66,0100,2,2,6.29425048828125e-05,0.0,0.0002193450927734375,2.3365020751953125e-05,5.4836273193359375e-05
67,10000000,3,3,5.6743621826171875e-05,2.625,0.0007305145263671875,2.0503997802734375e-05,0.002173900604248047
68,10,1,1,4.506111145019531e-05,0.0,0.00038170814514160156,7.152557373046875e-06,2.193450927734375e-05
69,0010,2,2,3.0279159545898438e-05,0.0,0.00023818016052246094,5.4836273193359375e-06,2.1696090698242188e-05
70,10,1,1,1.430511474609375e-05,0.0,0.00021505355834960938,3.814697265625e-06,1.2874603271484375e-05
71,01010100,3,2,6.651878356933594e-05,0.75,0.0004436969757080078,7.62939453125e-06,0.000370025634765625
72,10,1,1,3.361701965332031e-05,0.0,0.0002536773681640625,2.2172927856445312e-05,3.0994415283203125e-05
73,0100,2,2,7.581710815429688e-05,0.0,0.00022172927856445312,2.384185791015625e-05,5.7697296142578125e-05
74,01,1,1,4.649162292480469e-05,0.0,0.00023412704467773438,1.7404556274414062e-05,3.075599670410156e-05
75,01,1,1,3.24249267578125e-05,0.0,0.00025081634521484375,4.291534423828125e-06,3.0994415283203125e-05
76,01,1,1,3.4809112548828125e-05,0.0,0.00041937828063964844,2.8133392333984375e-05,4.506111145019531e-05
77,01,1,1,2.6226043701171875e-05,0.0,0.0004100799560546875,6.9141387939453125e-06,6.246566772460938e-05
78,01,1,1,2.288818359375e-05,0.0,0.00037169456481933594,5.9604644775390625e-06,1.9311904907226562e-05
79,00000010,3,3,9.202957153320312e-05,1.125,0.0005350112915039062,8.344650268554688e-06,0.0003597736358642578
80,00000010,3,3,7.653236389160156e-05,1.125,0.0005288124084472656,8.344650268554688e-06,0.00038170814514160156
81,00000111,3,2,7.271766662597656e-05,0.75,0.00047779083251953125,2.574920654296875e-05,0.00022721290588378906
82,01,1,1,5.1021575927734375e-05,0.0,0.0002446174621582031,4.0531158447265625e-06,3.123283386230469e-05
83,00000001,3,3,7.43865966796875e-05,2.625,0.0006885528564453125,2.5510787963867188e-05,0.0008852481842041016
84,00010011,3,2,8.845329284667969e-05,0.75,0.0004477500915527344,3.123283386230469e-05,0.00018835067749023438
85,01,1,1,4.601478576660156e-05,0.0,0.00035381317138671875,5.0067901611328125e-06,1.6927719116210938e-05
