,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,time_sym_std,ks_norm,ke_norm,source,version
0,,x,00,1,0.0,1,2.956390380859375e-05,0.0,0.0001354217529296875,8.58306884765625e-06,4.57763671875e-05,0.0,"[[['2', [], []]], []]",True,False,1.2742352280250772e-05,0.0,0.0,rng,new
1,,x,10,1,0.5,1,2.8371810913085938e-05,0.0,0.0001476287841796875,7.152557373046875e-06,4.0531158447265625e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",True,False,5.0764684944098605e-06,0.0,1.0,rng,new
2,,x,01,1,0.5,1,2.86102294921875e-05,0.0,0.00014619827270507814,7.3909759521484375e-06,4.291534423828125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,1.3852919622739745e-06,0.0,1.0,rng,new
3,,x,0000,2,0.0,1,6.151199340820312e-05,0.0,0.00014829635620117188,9.5367431640625e-06,4.839897155761719e-05,0.0,"[[['22', [], []]], []]",True,False,6.595194016273539e-06,0.0,0.0,rng,new
4,,x,1000,2,0.25,2,4.00543212890625e-05,1.5,0.00025115013122558596,1.1205673217773438e-05,0.0003180503845214844,1.25,"[[['12', [[0, 1]], []]], [['00', [], []]]]",True,False,2.8434851676703597e-06,0.75,0.625,rng,new
5,,x,0100,2,0.25,2,4.124641418457031e-05,0.0,0.00016241073608398439,1.049041748046875e-05,6.413459777832031e-05,1.25,"[[['12', [], []], ['20', [], []]], [['01', [], []]]]",True,False,1.8256948424620462e-05,0.0,0.625,rng,new
6,,x,0010,2,0.25,2,3.981590270996094e-05,0.0,0.0001522064208984375,1.0967254638671875e-05,6.198883056640625e-05,1.25,"[[['21', [], []], ['02', [], []]], [['10', [], []]]]",True,False,4.19399899049683e-06,0.0,0.625,rng,new
7,,x,0001,2,0.25,2,3.838539123535156e-05,1.5,0.0002595424652099609,1.1444091796875e-05,0.0003418922424316406,1.25,"[[['02', [[0, 1]], []]], [['11', [], []]]]",True,False,3.048910362301739e-05,0.75,0.625,rng,new
8,,x,0011,2,0.5,1,3.886222839355469e-05,0.0,0.000160980224609375,9.298324584960938e-06,5.054473876953125e-05,1.0,"[[['02', [], []]], [['12', [], []]]]",True,False,2.0288510531872484e-05,0.0,0.5,rng,new
9,,x,1010,2,0.5,1,3.933906555175781e-05,0.0,0.00015072822570800782,9.059906005859375e-06,4.982948303222656e-05,1.0,"[[['21', [], []]], [['20', [], []]]]",True,False,1.6861032037028182e-05,0.0,0.5,rng,new
10,,x,0101,2,0.5,1,3.719329833984375e-05,0.0,0.00015745162963867187,9.059906005859375e-06,5.078315734863281e-05,1.0,"[[['20', [], []]], [['21', [], []]]]",True,False,1.1140655029101415e-05,0.0,0.5,rng,new
11,,x,1001,2,0.5,2,2.7894973754882812e-05,1.0,0.0002582073211669922,1.049041748046875e-05,0.00023412704467773438,2.0,"[[['01', [[0, 1]], []]], [['11', [], []], ['00', [], []]]]",True,False,9.625734919636893e-06,0.5,1.0,rng,new
12,,x,0110,2,0.5,2,2.6941299438476562e-05,1.0,0.0002701282501220703,1.049041748046875e-05,0.0002491474151611328,2.0,"[[['11', [], []], ['00', [], []]], [['01', [[0, 1]], []]]]",True,False,1.3447315125332731e-05,0.5,1.0,rng,new
13,,x,1100,2,0.5,1,3.910064697265625e-05,0.0,0.00015802383422851561,9.059906005859375e-06,5.14984130859375e-05,1.0,"[[['12', [], []]], [['02', [], []]]]",True,False,8.945495589149385e-06,0.0,0.5,rng,new
14,,x,00000000,3,0.0,1,7.128715515136719e-05,0.0,0.0001578807830810547,1.1205673217773438e-05,6.198883056640625e-05,0.0,"[[['222', [], []]], []]",True,False,1.697058019819639e-05,0.0,0.0,rng,new
15,,x,00100000,3,0.125,3,6.628036499023438e-05,1.125,0.00028586387634277344,1.3828277587890625e-05,0.0005500316619873047,1.25,"[[['122', [[0, 2]], []], ['202', [], []]], [['010', [], []]]]",True,False,2.4462722178838612e-05,0.375,0.4166666666666667,rng,new
16,,x,00000010,3,0.125,3,7.534027099609375e-05,1.125,0.0002673149108886719,1.4066696166992188e-05,0.0005433559417724609,1.25,"[[['221', [], []], ['022', [[0, 1]], []]], [['110', [], []]]]",True,False,5.336316998877632e-06,0.375,0.4166666666666667,rng,new
17,,x,00001000,3,0.125,3,6.794929504394531e-05,1.125,0.00026640892028808596,1.6927719116210938e-05,0.0005750656127929688,1.25,"[[['212', [[1, 2]], []], ['022', [], []]], [['100', [], []]]]",True,False,1.1209832089306986e-05,0.375,0.4166666666666667,rng,new
18,,x,00000001,3,0.125,3,6.198883056640625e-05,2.625,0.00029659271240234375,1.2874603271484375e-05,0.0012929439544677734,1.25,"[[['022', [[0, 1, 2]], []]], [['111', [], []]]]",True,False,1.3449005867166952e-05,0.875,0.4166666666666667,rng,new
19,,x,10000000,3,0.125,3,6.365776062011719e-05,2.625,0.0003119468688964844,1.2874603271484375e-05,0.0013000965118408203,1.25,"[[['122', [[0, 1, 2]], []]], [['000', [], []]]]",True,False,1.658995898659833e-05,0.875,0.4166666666666667,rng,new
20,,x,00010000,3,0.125,3,6.413459777832031e-05,1.125,0.00027136802673339845,1.430511474609375e-05,0.0005471706390380859,1.25,"[[['122', [], []], ['202', [[1, 2]], []]], [['011', [], []]]]",True,False,1.5945480200597277e-05,0.375,0.4166666666666667,rng,new
21,,x,00000100,3,0.125,3,7.128715515136719e-05,1.125,0.0002940177917480469,1.430511474609375e-05,0.0005512237548828125,1.25,"[[['212', [], []], ['022', [[0, 2]], []]], [['101', [], []]]]",True,False,1.5143165013679183e-05,0.375,0.4166666666666667,rng,new
22,,x,01000000,3,0.125,3,6.985664367675781e-05,1.125,0.00028691291809082033,1.430511474609375e-05,0.0005464553833007812,1.25,"[[['122', [[0, 1]], []], ['220', [], []]], [['001', [], []]]]",True,False,1.282913515036528e-05,0.375,0.4166666666666667,rng,new
23,,x,01010000,3,0.25,2,6.818771362304688e-05,0.0,0.00016341209411621093,1.33514404296875e-05,7.605552673339844e-05,1.25,"[[['122', [], []], ['220', [], []]], [['021', [], []]]]",True,False,7.748567140932564e-06,0.0,0.4166666666666667,rng,new
24,,x,00100010,3,0.25,2,6.532669067382812e-05,0.0,0.00016798973083496094,1.2874603271484375e-05,7.009506225585938e-05,1.25,"[[['221', [], []], ['202', [], []]], [['210', [], []]]]",True,False,8.428830205253413e-06,0.0,0.4166666666666667,rng,new
25,,x,00000011,3,0.25,2,5.984306335449219e-05,1.5,0.000278472900390625,1.2874603271484375e-05,0.0004744529724121094,1.25,"[[['022', [[0, 1]], []]], [['112', [], []]]]",True,False,4.275610307971934e-06,0.5,0.4166666666666667,rng,new
26,,x,00001010,3,0.25,2,6.461143493652344e-05,0.0,0.00017066001892089843,1.2159347534179688e-05,6.961822509765625e-05,1.25,"[[['221', [], []], ['022', [], []]], [['120', [], []]]]",True,False,9.880314459307318e-06,0.0,0.4166666666666667,rng,new
27,,x,10010000,3,0.25,3,5.364418029785156e-05,0.75,0.00028972625732421876,1.3589859008789062e-05,0.0004899501800537109,1.875,"[[['201', [[1, 2]], []], ['122', [], []]], [['011', [], []], ['000', [], []]]]",True,False,1.9951176686550088e-05,0.25,0.625,rng,new
28,,x,00101000,3,0.25,3,5.817413330078125e-05,0.5,0.0002890110015869141,1.3113021850585938e-05,0.00026702880859375,1.875,"[[['221', [], []], ['002', [], []], ['112', [], []]], [['010', [[0, 1]], []]]]",True,False,1.069264134626589e-05,0.16666666666666666,0.625,rng,new
29,,x,10001000,3,0.25,2,6.008148193359375e-05,1.5,0.0002800941467285156,1.3113021850585938e-05,0.0004763603210449219,1.25,"[[['212', [[1, 2]], []]], [['200', [], []]]]",True,False,1.4322111840240508e-05,0.5,0.4166666666666667,rng,new
30,,x,01000100,3,0.25,2,6.818771362304688e-05,0.0,0.000164794921875,1.1920928955078125e-05,7.033348083496094e-05,1.25,"[[['212', [], []], ['220', [], []]], [['201', [], []]]]",True,False,8.595510578117149e-06,0.0,0.4166666666666667,rng,new
31,,x,10000001,3,0.25,6,8.440017700195312e-05,2.25,0.0004110813140869141,1.6450881958007812e-05,0.002137422561645508,2.25,"[[['012', [[0, 1, 2]], []]], [['111', [], []], ['000', [], []]]]",True,False,8.796837880758609e-06,0.75,0.75,rng,new
32,,x,00110000,3,0.25,2,7.557868957519531e-05,0.0,0.00017156600952148438,1.33514404296875e-05,7.557868957519531e-05,1.25,"[[['122', [], []], ['202', [], []]], [['012', [], []]]]",True,False,1.0382136802249264e-05,0.0,0.4166666666666667,rng,new
33,,x,10000010,3,0.25,3,5.888938903808594e-05,0.75,0.0002894401550292969,1.3589859008789062e-05,0.0004918575286865234,1.875,"[[['012', [[0, 1]], []], ['221', [], []]], [['110', [], []], ['000', [], []]]]",True,False,2.1247898012746614e-05,0.25,0.625,rng,new
34,,x,00100001,3,0.25,3,5.340576171875e-05,0.75,0.000279998779296875,1.3113021850585938e-05,0.00049591064453125,1.875,"[[['021', [[0, 2]], []], ['202', [], []]], [['010', [], []], ['111', [], []]]]",True,False,1.737193093668013e-05,0.25,0.625,rng,new
35,,x,01000001,3,0.25,3,5.435943603515625e-05,0.75,0.0002919673919677734,1.3828277587890625e-05,0.0005106925964355469,1.875,"[[['012', [[0, 1]], []], ['220', [], []]], [['001', [], []], ['111', [], []]]]",True,False,1.718109856443791e-05,0.25,0.625,rng,new
36,,x,00001100,3,0.25,2,6.365776062011719e-05,0.0,0.0001873493194580078,1.239776611328125e-05,6.842613220214844e-05,1.25,"[[['212', [], []], ['022', [], []]], [['102', [], []]]]",True,False,6.679806140074714e-06,0.0,0.4166666666666667,rng,new
37,,x,00000101,3,0.25,2,6.508827209472656e-05,1.5,0.00028290748596191404,1.33514404296875e-05,0.0004696846008300781,1.25,"[[['022', [[0, 2]], []]], [['121', [], []]]]",True,False,1.4988623477772729e-05,0.5,0.4166666666666667,rng,new
38,,x,00010100,3,0.25,3,5.984306335449219e-05,0.5,0.0002895355224609375,1.3113021850585938e-05,0.0002613067626953125,1.875,"[[['002', [], []], ['112', [], []], ['220', [], []]], [['011', [[0, 1]], []]]]",True,False,1.553830785530234e-05,0.16666666666666666,0.625,rng,new
39,,x,00001001,3,0.25,3,6.556510925292969e-05,0.75,0.0002819061279296875,1.621246337890625e-05,0.0005228519439697266,1.875,"[[['201', [[1, 2]], []], ['022', [], []]], [['100', [], []], ['111', [], []]]]",True,False,3.875603823893757e-06,0.25,0.625,rng,new
40,,x,00000110,3,0.25,3,6.437301635742188e-05,0.5,0.0002980232238769531,1.3828277587890625e-05,0.0002694129943847656,1.875,"[[['200', [], []], ['211', [], []], ['022', [], []]], [['101', [[1, 2]], []]]]",True,False,1.4187007348357476e-05,0.16666666666666666,0.625,rng,new
