,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,ks_norm,ke_norm,source
0,,x,00,1,0.0,1,2.9087066650390625e-05,0.0,0.00014209747314453125,6.9141387939453125e-06,1.7642974853515625e-05,0.0,0.0,0.0,rng
1,,x,01,1,0.5,1,1.4781951904296875e-05,0.0,0.0001964569091796875,3.814697265625e-06,3.1948089599609375e-05,1.0,0.0,1.0,rng
2,,x,10,1,0.5,1,2.8133392333984375e-05,0.0,0.00014710426330566406,3.814697265625e-06,1.2874603271484375e-05,1.0,0.0,1.0,rng
3,,x,0000,2,0.0,1,2.8848648071289062e-05,0.0,0.0001392364501953125,5.245208740234375e-06,1.621246337890625e-05,0.0,0.0,0.0,rng
4,,x,1000,2,0.25,2,2.6941299438476562e-05,1.5,0.0004229545593261719,2.47955322265625e-05,0.0001919269561767578,1.25,0.75,0.625,rng
5,,x,0100,2,0.25,2,2.5272369384765625e-05,0.0,0.00021028518676757812,2.384185791015625e-05,3.933906555175781e-05,1.25,0.0,0.625,rng
6,,x,0010,2,0.25,2,4.3392181396484375e-05,0.0,0.0001938343048095703,2.3603439331054688e-05,3.910064697265625e-05,1.25,0.0,0.625,rng
7,,x,1100,2,0.5,1,4.38690185546875e-05,0.0,0.00019025802612304688,2.3365020751953125e-05,3.600120544433594e-05,1.0,0.0,0.5,rng
8,,x,0011,2,0.5,1,5.030632019042969e-05,0.0,0.0004019737243652344,1.049041748046875e-05,4.029273986816406e-05,1.0,0.0,0.5,rng
9,,x,1001,2,0.5,2,2.3126602172851562e-05,1.0,0.00044798851013183594,2.2649765014648438e-05,0.0001621246337890625,2.0,0.5,1.0,rng
10,,x,00000000,3,0.0,1,6.842613220214844e-05,0.0,0.0001685619354248047,2.4318695068359375e-05,3.9577484130859375e-05,0.0,0.0,0.0,rng
11,,x,10000000,3,0.125,3,4.124641418457031e-05,2.625,0.0006875991821289062,2.5510787963867188e-05,0.0009176731109619141,1.25,0.875,0.4166666666666667,rng
12,,x,00000010,3,0.125,3,7.963180541992188e-05,1.125,0.00051116943359375,2.7179718017578125e-05,0.00037384033203125,1.25,0.375,0.4166666666666667,rng
13,,x,00001000,3,0.125,3,7.724761962890625e-05,1.125,0.0005414485931396484,2.7179718017578125e-05,0.0003712177276611328,1.25,0.375,0.4166666666666667,rng
14,,x,10000010,3,0.25,3,5.602836608886719e-05,0.75,0.0005412101745605469,2.6941299438476562e-05,0.0003368854522705078,1.875,0.25,0.625,rng
15,,x,00100001,3,0.25,3,7.128715515136719e-05,0.75,0.0010612010955810547,1.9311904907226562e-05,0.0007011890411376953,1.875,0.25,0.625,rng
16,,x,10000001,3,0.25,6,3.886222839355469e-05,2.25,0.0010228157043457031,2.5987625122070312e-05,0.0013303756713867188,2.25,0.75,0.75,rng
17,,x,10000011,3,0.375,4,3.409385681152344e-05,1.25,0.0013499259948730469,2.9087066650390625e-05,0.0009274482727050781,2.125,0.4166666666666667,0.7083333333333334,rng
18,,x,00001110,3,0.375,2,6.699562072753906e-05,0.75,0.0004105567932128906,7.62939453125e-06,0.0002243518829345703,1.5625,0.25,0.5208333333333334,rng
19,,x,10010010,3,0.375,4,5.14984130859375e-05,1.125,0.0011026859283447266,2.6226043701171875e-05,0.0004546642303466797,2.5,0.375,0.8333333333333334,rng
20,,x,10010101,3,0.5,3,3.409385681152344e-05,1.5,0.0008037090301513672,4.00543212890625e-05,0.0007746219635009766,2.25,0.5,0.75,rng
21,,x,00110110,3,0.5,3,5.5789947509765625e-05,1.5,0.001482248306274414,2.7894973754882812e-05,0.00047779083251953125,2.25,0.5,0.75,rng
22,,x,10011001,3,0.5,2,3.504753112792969e-05,1.0,0.00045299530029296875,2.574920654296875e-05,0.0002467632293701172,2.0,0.3333333333333333,0.6666666666666666,rng
