,Unnamed: 0,network_v1.0.0,name_v1.0.0,func_v1.0.0,k_v1.0.0,bias_v1.0.0,numPI_v1.0.0,time_PI_v1.0.0,ks_v1.0.0,time_sym_v1.0.0,time_ks_v1.0.0,time_cov_v1.0.0,ke_v1.0.0,tss_v1.0.0,correct_v1.0.0,timeout_v1.0.0,time_sym_std_v1.0.0,ks_norm_v1.0.0,ke_norm_v1.0.0,source_v1.0.0,version_v1.0.0,network_v0.1.2,name_v0.1.2,func_v0.1.2,k_v0.1.2,bias_v0.1.2,numPI_v0.1.2,time_PI_v0.1.2,ks_v0.1.2,time_sym_v0.1.2,time_ks_v0.1.2,time_cov_v0.1.2,ke_v0.1.2,tss_v0.1.2,correct_v0.1.2,timeout_v0.1.2,time_sym_std_v0.1.2,ks_norm_v0.1.2,ke_norm_v0.1.2,source_v0.1.2,version_v0.1.2,ks_shuffle_vals
0,0,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.0001444816589355,1.3125,0.0003068923950195,2.574920654296875e-05,0.0012991428375244,1.625,"[[['1222', [], []], ['2000', [], []]], [['0122', [[1, 2, 3]], []]]]",True,False,8.970877252887678e-06,0.328125,0.40625,cc,new,Apoptosis Network,Cas3,0111111100000000,4,0.4375,3,0.0001196861267089,,0.0018471717834472,,,1.625,"[[('2000', [], [[1, 2, 3]]), ('1222', [], [[1, 2, 3]])], [('0212', [[1, 2, 3]], [])]]",True,False,0.0001406126887477,,0.40625,cc,v0.1.2,"[0.75, 1.0, 1.4375, 1.0625, 1.4375, 1.375, 1.2083333730697632, 1.53125, 1.5833333730697632, 1.75, 0.5625, 2.0520832538604736]"
2,2,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.0001251697540283,0.375,0.0002973079681396,1.883506774902344e-05,0.0003590583801269,1.5208333333333337,"[[['2122', [], []], ['2202', [], []], ['1221', [], []]], [['0012', [[0, 3]], []]]]",True,False,2.459204143506408e-05,0.09375,0.3802083333333333,cc,new,Apoptosis Network,IAP,0011000000100000,4,0.1875,3,0.0001614093780517,,0.0031152725219726,,,1.520833333333333,"[[('2122', [], [[0, 2, 3]]), ('1221', [], [[0, 3], [1, 2]]), ('2202', [], [[0, 1, 3]])], [('0012', [[0, 3]], [])]]",True,False,0.0005633090011255,,0.3802083333333332,cc,v0.1.2,"[0.9791666865348816, 0.4791666567325592, 1.6875, 1.0729166269302368, 1.6875, 0.4791666567325592, 0.4791666567325592, 1.8385416269302368, 1.0729166269302368, 1.3125, 0.375, 0.4791666567325592]"
7,7,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.0001618862152099,1.96875,0.0003678321838378,2.09808349609375e-05,0.0026535987854003,1.1875,"[[['1222', [], []], ['2022', [[1, 2, 3]], []]], [['0111', [], []]]]",True,False,3.727372350608131e-05,0.4921875,0.296875,cc,new,Apoptosis Network,APC,0000000100000000,4,0.0625,4,0.0001821517944335,,0.0052780151367187,,,1.1875,"[[('2022', [[1, 2, 3]], [[0, 2]]), ('1222', [], [[1, 2, 3]])], [('0111', [], [[1, 2, 3]])]]",True,False,0.0011901905196495,,0.296875,cc,v0.1.2,"[3.75, 1.96875, 3.75, 1.96875, 1.96875, 1.875, 1.96875, 1.875, 1.96875, 1.875, 3.75, 1.96875]"
10,10,Apoptosis Network,Mito,0010,2,0.25,2,4.172325134277344e-05,0.0,0.0001946926116943,1.0251998901367188e-05,5.674362182617188e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,1.651165283298319e-05,0.0,0.625,cc,new,Apoptosis Network,Mito,0010,2,0.25,2,5.555152893066406e-05,,0.0012099266052246,,,1.25,"[[('02', [], []), ('21', [], [])], [('10', [], [])]]",True,False,0.0001469229921402,,0.625,cc,v0.1.2,"[0.0, 0.0, 1.5, 1.5, 0.0, 1.5, 1.5, 1.5, 1.5, 0.0, 1.5, 0.0]"
12,12,Apoptosis Network,Mdm2,0111,2,0.75,2,4.076957702636719e-05,1.5,0.0003035068511962,1.1444091796875e-05,0.0002944469451904,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,2.401905965482647e-05,0.75,0.625,cc,new,Apoptosis Network,Mdm2,0111,2,0.75,2,4.38690185546875e-05,,0.0013976573944091,,,1.25,"[[('00', [], [[0, 1]])], [('12', [[0, 1]], [])]]",True,False,7.487063160693802e-05,,0.625,cc,v0.1.2,"[0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 1.5, 1.5, 1.5, 0.0, 1.5]"
13,13,Apoptosis Network,Cas8,01110000,3,0.375,2,6.127357482910156e-05,0.75,0.0003320693969726,1.3589859008789062e-05,0.0003254413604736,1.5625,"[[['200', [], []], ['122', [], []]], [['012', [[1, 2]], []]]]",True,False,2.369520862366463e-05,0.25,0.5208333333333334,cc,new,Apoptosis Network,Cas8,01110000,3,0.375,2,6.461143493652344e-05,,0.0016786575317382,,,1.5625,"[[('200', [], [[1, 2]]), ('122', [], [[1, 2]])], [('021', [[1, 2]], [])]]",True,False,6.733666696929184e-05,,0.5208333333333334,cc,v0.1.2,"[0.0, 0.75, 0.75, 0.75, 0.625, 1.25, 0.0, 0.75, 1.25, 0.625, 0.0, 0.0]"
14,14,Apoptosis Network,p53,01001100,3,0.375,2,6.222724914550781e-05,0.75,0.0003174781799316,1.3828277587890623e-05,0.0003192424774169,1.5625,"[[['212', [], []], ['020', [], []]], [['102', [[0, 2]], []]]]",True,False,2.3010345131215157e-05,0.25,0.5208333333333334,cc,new,Apoptosis Network,p53,01001100,3,0.375,2,7.176399230957031e-05,,0.001866865158081,,,1.5625,"[[('212', [], [[0, 2]]), ('020', [], [[0, 2]])], [('201', [[0, 2]], [])]]",True,False,0.0003127420175571,,0.5208333333333334,cc,v0.1.2,"[0.75, 1.125, 0.625, 0.625, 0.0, 1.25, 2.625, 2.625, 0.0, 0.625, 0.0, 0.75]"
17,17,Apoptosis Network,PIP3,00010000,3,0.125,3,7.009506225585938e-05,1.125,0.000318431854248,1.430511474609375e-05,0.0005676746368408,1.25,"[[['122', [], []], ['202', [[1, 2]], []]], [['011', [], []]]]",True,False,2.604404065492204e-05,0.375,0.4166666666666667,cc,new,Apoptosis Network,PIP3,00010000,3,0.125,3,7.653236389160156e-05,,0.0021726608276367,,,1.25,"[[('202', [[1, 2]], []), ('122', [], [[1, 2]])], [('011', [], [[1, 2]])]]",True,False,8.747049673390846e-05,,0.4166666666666667,cc,v0.1.2,"[1.125, 1.125, 1.125, 1.125, 1.125, 1.125, 2.625, 1.125, 1.125, 1.125, 2.625, 1.125]"
18,18,Apoptosis Network,Cas7,01110000,3,0.375,2,5.960464477539063e-05,0.75,0.0003103733062744,1.3828277587890623e-05,0.0003550052642822,1.5625,"[[['200', [], []], ['122', [], []]], [['012', [[1, 2]], []]]]",True,False,2.4105238487561107e-05,0.25,0.5208333333333334,cc,new,Apoptosis Network,Cas7,01110000,3,0.375,2,6.580352783203125e-05,,0.001709508895874,,,1.5625,"[[('200', [], [[1, 2]]), ('122', [], [[1, 2]])], [('021', [[1, 2]], [])]]",True,False,6.887539308459074e-05,,0.5208333333333334,cc,v0.1.2,"[0.0, 0.75, 1.25, 0.75, 1.25, 0.75, 0.625, 0.0, 0.625, 0.0, 1.125, 1.125]"
20,20,Apoptosis Network,JNKK,0010,2,0.25,2,5.0067901611328125e-05,0.0,0.0002074241638183,1.1444091796875e-05,6.079673767089844e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,1.91970636597994e-05,0.0,0.625,cc,new,Apoptosis Network,JNKK,0010,2,0.25,2,4.9591064453125e-05,,0.0011555671691894,,,1.25,"[[('02', [], []), ('21', [], [])], [('10', [], [])]]",True,False,0.0001512221519487,,0.625,cc,v0.1.2,"[0.0, 1.5, 0.0, 1.5, 1.5, 1.5, 1.5, 1.5, 0.0, 1.5, 1.5, 1.5]"
